2022-09-30 17:02:45,729	INFO trainable.py:160 -- Trainable.setup took 24.909 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2022-09-30 17:02:45,730	WARNING util.py:65 -- Install gputil for GPU system monitoring.
Main trainign step 0
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931471824645996, 'policy_loss': 36.99603271484375, 'vf_loss': 179.7366180419922, 'total_loss': 126.79502868652344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 21.66181182861328, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931117057800293, 'policy_loss': 21.12173843383789, 'vf_loss': 58.437416076660156, 'total_loss': 50.27113342285156}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93059778213501, 'policy_loss': 36.97237777709961, 'vf_loss': 179.76165771484375, 'total_loss': 126.78390502929688}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.928081035614014, 'policy_loss': 31.66780662536621, 'vf_loss': 133.6791534423828, 'total_loss': 98.43810272216797}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930139541625977, 'policy_loss': 37.02149200439453, 'vf_loss': 180.3036651611328, 'total_loss': 127.1040267944336}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 23.35938262939453, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930549621582031, 'policy_loss': 23.32333755493164, 'vf_loss': 73.82572174072266, 'total_loss': 60.166893005371094}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929969310760498, 'policy_loss': 36.74634552001953, 'vf_loss': 180.32203674316406, 'total_loss': 126.83806610107422}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 26.100034713745117, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930850028991699, 'policy_loss': 31.24024200439453, 'vf_loss': 134.1719970703125, 'total_loss': 98.2569351196289}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9300079345703125, 'policy_loss': 36.924808502197266, 'vf_loss': 179.50732421875, 'total_loss': 126.60916900634766}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93046760559082, 'policy_loss': 31.043275833129883, 'vf_loss': 134.1910858154297, 'total_loss': 98.06951141357422}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 15.9969482421875, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9307451248168945, 'policy_loss': 20.51699447631836, 'vf_loss': 53.23020553588867, 'total_loss': 47.06278610229492}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930417060852051, 'policy_loss': 37.117950439453125, 'vf_loss': 179.8720245361328, 'total_loss': 126.98465728759766}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 20.0367431640625, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930966377258301, 'policy_loss': 23.249134063720703, 'vf_loss': 73.72838592529297, 'total_loss': 60.04401779174805}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930231094360352, 'policy_loss': 22.90791130065918, 'vf_loss': 73.2442626953125, 'total_loss': 59.46074295043945}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929908275604248, 'policy_loss': 36.392276763916016, 'vf_loss': 178.59527587890625, 'total_loss': 125.62061309814453}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9310221672058105, 'policy_loss': 37.05438995361328, 'vf_loss': 179.11590576171875, 'total_loss': 126.54302978515625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930502891540527, 'policy_loss': 37.0399055480957, 'vf_loss': 179.74636840820312, 'total_loss': 126.84378051757812}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930876731872559, 'policy_loss': 37.11878204345703, 'vf_loss': 179.2740936279297, 'total_loss': 126.6865234375}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 29.21961212158203, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93068790435791, 'policy_loss': 26.54076385498047, 'vf_loss': 99.9660873413086, 'total_loss': 76.45449829101562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929012775421143, 'policy_loss': 36.19655227661133, 'vf_loss': 177.7526092529297, 'total_loss': 125.00357055664062}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93046236038208, 'policy_loss': 36.765960693359375, 'vf_loss': 179.0769500732422, 'total_loss': 126.2351303100586}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 26.435041427612305, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930553436279297, 'policy_loss': 23.18545913696289, 'vf_loss': 73.70637512207031, 'total_loss': 59.96934127807617}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931253433227539, 'policy_loss': 37.23525619506836, 'vf_loss': 179.44200134277344, 'total_loss': 126.8869400024414}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929967403411865, 'policy_loss': 22.909273147583008, 'vf_loss': 73.49966430664062, 'total_loss': 59.589805603027344}
